id,title,status,action,effectiveDate,linkedCanyons,textUrl,attachmentCount,sourceConfidence
210,Arrêté municipal (Sillans la cascade) - 08 août 2005,Actif,Interdit,08 août 2005,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/210/legislation.html,1,mirror_attachment_present
212,Information,Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/212/legislation.html,0,needs_manual_search
213,Arrêté (Cataluña) - 15 juil 1983,Actif,Interdit,15 juil 1983,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/213/legislation.html,2,mirror_attachment_present
216,Arrêté - 28 avr 2005,Actif,Réglemente,28 avr 2005,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/216/legislation.html,1,mirror_attachment_present
217,Arrêté - 12 juil 1954,Actif,Autorise,12 juil 1954,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/217/legislation.html,0,needs_manual_search
221,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/221/legislation.html,0,needs_manual_search
223,Arrêté municipal - 28 mai 2008,Actif,Interdit,28 mai 2008,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/223/legislation.html,0,needs_manual_search
226,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/226/legislation.html,0,needs_manual_search
227,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/227/legislation.html,0,needs_manual_search
231,Arrêté,Actif,Indéfini,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/231/legislation.html,0,needs_manual_search
232,Arrêté préfectoral (Corse) - 08 juin 2011,Actif,Réglemente,08 juin 2011,43,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/232/legislation.html,2,mirror_attachment_present
233,Arrêté,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/233/legislation.html,0,needs_manual_search
234,"Arrêté municipal (Saint-Guillaume, Saint-Andéol) - 07 juin 2012",Actif,Réglemente,07 juin 2012,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/234/legislation.html,2,mirror_attachment_present
236,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/236/legislation.html,0,needs_manual_search
237,Arrêté - 29 mars 2012,Actif,Réglemente,29 mars 2012,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/237/legislation.html,0,needs_manual_search
238,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/238/legislation.html,0,needs_manual_search
253,Arrêté préfectoral (Ain) - 15 mai 2012,Actif,Réglemente,15 mai 2012,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/253/legislation.html,1,mirror_attachment_present
254,Arrêté - 29 juin 2011,Actif,Autorise,29 juin 2011,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/254/legislation.html,1,mirror_attachment_present
257,Arrêté municipal (Collobrières) - 04 mai 2006,Actif,Interdit,04 mai 2006,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/257/legislation.html,1,mirror_attachment_present
261,Arrêté,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/261/legislation.html,1,mirror_attachment_present
264,Arrêté municipal (Guillaumes) - 25 fév 2012,Actif,Réglemente,25 fév 2012,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/264/legislation.html,1,mirror_attachment_present
267,Information - 18 juil 2013,Actif,Indéfini,18 juil 2013,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/267/legislation.html,0,needs_manual_search
268,Arrêté municipal (Vacheresse) - 12 juil 2013,Actif,Réglemente,12 juil 2013,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/268/legislation.html,1,mirror_attachment_present
271,Arrêté - 23 mai 2013,Actif,Réglemente,23 mai 2013,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/271/legislation.html,0,needs_manual_search
275,Arrêté municipal (Rabou) - 04 juil 2013,Actif,Réglemente,04 juil 2013,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/275/legislation.html,1,mirror_attachment_present
